,site_name,name,genus_species,genus,species,body_part,year_found,likely_age,minimum_age,maximum_age,discoverers,citation_group,notes,lon,lat
113,"Olduvai Gorge, Tanzania ",OH 24,Homo habilis,Homo,habilis,cranium,1968,1.8,NA,NA,Peter Nzube ,41,NA,35.3534836,-2.9890143
114,"Koobie Fora, Kenya",KNM-ER 6203,Homo rudolfensis ,Homo,rudolfensis ,patial cranium ,NA,NA,1.91,1.95,Meave Leakey ,42,NA,36.1864411,3.9482191
115,"Koobie Fora, Kenya",KNM-ER 6201,Homo rudolfensis ,Homo,rudolfensis ,mandible,NA,NA,1.9,1.95,Meave Leakey ,42,NA,36.1864411,3.9482191
116,"Olduvai, Tanzania ",OH 5,Paranthropus  boisei,Paranthropus ,boisei,skull,1959,1.8,NA,NA,Mary Leaky,43,NA,35.3534836,-2.9890143
117,"Olduvai, Tanzania ",OH 7,Homo  habilis,Homo ,habilis,mandible,1960,1.8,NA,NA,Mary Leaky & Jonathan Leakey ,44,efossils discoverer,35.3534836,-2.9890143
118,"Yuanmou Basin, China",V1519,Homo erectus,Homo ,erectus,teeth,1965,1.7,NA,NA,Qian Fang,46,NA,102.246896,25.585176
119,"Koobi For a Formation, Kenya",KNM-WT 15000,Homo erectus,Homo ,erectus,cranium,1975,1.68,1.65,1.78,Bernard Ngeneo,47,smithsonian discoverer,36.1864411,3.9482191
120,"Lake Turkana, Kenya",KNM-ER 3734,Homo erectus,Homo ,erectus,complete ,1984,1.6,NA,NA,Kamoya Kimeu,48,NA,36.0022946,3.6267946
121,"Mojokerto City, East Java",Mojokerto 1,Homo erectus,Homo ,erectus,cranium,1936,1.43,1.28,1.58,a workman,49,smithsonian discoverer,112.4401329,-7.4704747
122,"Lake Natron, Tanzania ",Peninj Mandible,Australopithecus  boisei ,Australopithecus ,boisei ,mandible,1964,NA,1.4,1.5,Richard Leaky ,50,NA,36.0458437,-2.3435563
123,"Olduvai, Tanzania ",OH 12,Homo erectus,Homo ,erectus,cranium,1962,1.47,NA,NA,Margaret Leakey ,52,NA,35.3534836,-2.9890143
124,"Sierra de Atapuerca, Spain ",ATE9-1,Homo NA,Homo ,NA,mandible,2008,NA,1.1,1.2,Eudald Carbonell ,53,NA,-3.5225957,42.3662113
125,"Denizli, Turkey",Kocabas,Homo  erectus ,Homo ,erectus ,cranium,2002,NA,1.1,1.3,M.C. Alçiçek,54,NA,29.0963328,37.7830159
126,"Bouri, Middle Awash, Ethiopia",BOU-VP-2/66,Homo erectus,Homo ,erectus,cranium ,1997,1.042,1.033,1.051,W. Henry Gilbert,55,NA,39.9997991,9.9999553
127,"Bodo, Middle Awash, Ethiopia",BOD-BP-1/1,Homo  heidelbergensis ,Homo ,heidelbergensis ,partial cranium,1981,0.64,0.5,0.7,J.D. Clark,56,NA,39.9997991,9.9999553
128,"Mauer, Germany",Mauer 1,Homo  heidelbergensis ,Homo ,heidelbergensis ,mandible,1907,NA,0.568,0.621,Daniel Hartmann,57,NA,8.799045,49.3401597
